Title,Date
"Carole e Tuesday: Parte 1: Feras na dança","10/04/2022"
"Carole e Tuesday: Parte 1: Todos os caras jovens","16/01/2022"
"Carole e Tuesday: Parte 1: Fazer teste é o caminho","15/01/2022"
"Carole e Tuesday: Parte 1: A vida é um festival","09/01/2022"
"Carole e Tuesday: Parte 1: Respirando fundo","08/01/2022"
"Carole e Tuesday: Parte 1: Videoclipe","04/01/2022"
"Carole e Tuesday: Parte 1: Fogo e água","01/01/2022"
"Carole e Tuesday: Parte 1: Nasceram para correr","31/12/2021"
"Carole e Tuesday: Parte 1: True Colors","30/12/2021"
"Dorohedoro: Episódio 2","07/12/2021"
"Cowboy Bebop: Gospel do cowboy","05/12/2021"
"Round 6: Temporada 1: Batatinha frita 1, 2, 3","28/11/2021"
"Cowboy Bebop: Balada de anjos caídos","22/11/2021"
"Cowboy Bebop: O verdadeiro folk blues - Parte 2","21/11/2021"
"Cowboy Bebop: O verdadeiro folk blues - Parte 1","21/11/2021"
"Cowboy Bebop: Hard luck woman","21/11/2021"
"Cowboy Bebop: Brain scratch","21/11/2021"
"Cowboy Bebop: Cowboy funk","21/11/2021"
"Cowboy Bebop: Boogie woogie feng shui","21/11/2021"
"Cowboy Bebop: O demônio das onze horas","19/11/2021"
"Cowboy Bebop: Wild horses","19/11/2021"
"Cowboy Bebop: Speak like a child","15/11/2021"
"Cowboy Bebop: Mushroom samba","15/11/2021"
"Cowboy Bebop: Serenata do cão preto","15/11/2021"
"Cowboy Bebop: My funny valentine","14/11/2021"
"Cowboy Bebop: Bohemian rhapsody","14/11/2021"
"Cowboy Bebop: Jazz Jupiteriano - Parte 2","14/11/2021"
"Cowboy Bebop: Jazz Jupiteriano - Parte 1","14/11/2021"
"Cowboy Bebop: Toys in the attic","14/11/2021"
"Cowboy Bebop: Elegia de Ganimedes","13/11/2021"
"Cowboy Bebop: Jamming with Edward","07/11/2021"
"Cowboy Bebop: Valsa para Vênus","07/11/2021"
"Cowboy Bebop: Rainha do heavy metal","07/11/2021"
"Cowboy Bebop: Sympathy for the devil","07/11/2021"
"Cowboy Bebop: Escapatória","02/11/2021"
"Cowboy Bebop: Honky tonk women","02/11/2021"
"Cowboy Bebop: Stray dog strut","02/11/2021"
"Cowboy Bebop: Asteroid blues","31/10/2021"
"Hypnotic","31/10/2021"
"The Walking Dead: Temporada 3: Lar","25/10/2021"
"Blue Period: Despertar para o prazer da pintura","24/10/2021"
"SHAMAN KING: Lugar especial","17/10/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Muzan Kibutsuji","17/10/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: O espadachim que acompanhou um demônio","17/10/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Meu próprio aço","16/10/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Seleção final","16/10/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Sabito e Makomo","12/10/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Sakonji Urokodaki, o treinador","10/10/2021"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Arco da Determinação Inabalável: Crueldade","10/10/2021"
"Round 6: Temporada 1: Um dia de sorte","04/10/2021"
"Round 6: Temporada 1: O líder","03/10/2021"
"Round 6: Temporada 1: VIPs","03/10/2021"
"Round 6: Temporada 1: Gganbu","03/10/2021"
"Round 6: Temporada 1: Um mundo justo","03/10/2021"
"Round 6: Temporada 1: Fiquem juntos","03/10/2021"
"Round 6: Temporada 1: O homem do guarda-chuva","03/10/2021"
"The End of Evangelion","02/10/2021"
"Round 6: Temporada 1: Inferno","02/10/2021"
"Neon Genesis Evangelion: A fera que gritou eu no coração do mundo","25/09/2021"
"Neon Genesis Evangelion: O fim do mundo","07/09/2021"
"Neon Genesis Evangelion: O mensageiro final","07/09/2021"
"Neon Genesis Evangelion: Pelo menos, seja humano","06/09/2021"
"Neon Genesis Evangelion: Lágrimas","06/09/2021"
"Neon Genesis Evangelion: O nascimento da Nerv","05/09/2021"
"Neon Genesis Evangelion: A luta de um homem","05/09/2021"
"Neon Genesis Evangelion: Forma da mente, forma de homem","04/09/2021"
"Neon Genesis Evangelion: Mentiras e silêncio","30/08/2021"
"Neon Genesis Evangelion: O julgamento da vida","29/08/2021"
"Neon Genesis Evangelion: A quarta criança","29/08/2021"
"Neon Genesis Evangelion: Doença até a morte","29/08/2021"
"Neon Genesis Evangelion: SEELE, um lugar para a alma!","28/08/2021"
"Neon Genesis Evangelion: A invasão dos anjos","28/08/2021"
"Neon Genesis Evangelion: O valor de um milagre","22/08/2021"
"Neon Genesis Evangelion: Na escuridão silenciosa","22/08/2021"
"Neon Genesis Evangelion: Inferno de magma!","21/08/2021"
"SHAMAN KING: Anna e Tao Jun","21/08/2021"
"Palavras que Borbulham como Refrigerante","16/08/2021"
"Neon Genesis Evangelion: Momento de união de mentes","16/08/2021"
"Neon Genesis Evangelion: Asuka ataca!","16/08/2021"
"Neon Genesis Evangelion: A criação humana","16/08/2021"
"Neon Genesis Evangelion: Confronto em Neo Tóquio Três","12/08/2021"
"Neon Genesis Evangelion: Rei, além de seu coração.","11/08/2021"
"Neon Genesis Evangelion: Chuva depois da fuga","09/08/2021"
"Neon Genesis Evangelion: Telefone silencioso","08/08/2021"
"Neon Genesis Evangelion: Ambiente desconhecido","08/08/2021"
"Neon Genesis Evangelion: Ataque do anjo","08/08/2021"
"Dorohedoro: Episódio 1","27/06/2021"
"O Homem do Futuro","27/06/2021"
"Um Dia","19/06/2021"
"Violet Evergarden: Episódio 2","21/03/2021"
"Troco em Dobro","15/03/2021"
"Violet Evergarden: Episódio 1","14/03/2021"
"O Último Virgem","18/01/2021"
"O Segredo","16/01/2021"
"Heróis modestos: Cinema de Curtas da Ponoc","05/12/2020"
"Amizade Colorida","01/12/2020"
"Vozes","30/11/2020"
"Pecados íntimos","29/11/2020"
"Patch Adams, o Amor é Contagioso","28/11/2020"
"O Castelo de Cagliostro","28/11/2020"
"Era uma vez um sonho","27/11/2020"
"365 Dias","26/11/2020"
"Casa comigo?","24/11/2020"
"A Garota que conquistou o tempo","10/06/2020"
"Os Vingadores Unidos: Temporada 4: Além","30/05/2020"
"María Magdalena: Episódio 5","24/05/2020"
"Os Vingadores Unidos: Temporada 4: Dimensão Z","23/05/2020"
"Outlander: Temporada 1: Castelo de Leoch","16/05/2020"
"Outlander: Temporada 1: Inglesa","16/05/2020"
"Os Vingadores Unidos: Temporada 4: O retorno","16/05/2020"
"Os Vingadores Unidos: Temporada 4: Sob o feitiço da Encantor","09/05/2020"
"Os Vingadores Unidos: Temporada 4: Mostre seu trabalho","18/04/2020"
"Recém-Casado","07/04/2020"
"Carta ao Rei: Quando a tempestade se armar","07/04/2020"
"María Magdalena: Episódio 1","02/04/2020"
"A Casa","30/03/2020"
"Próxima Parada: Apocalipse","28/03/2020"
"A Onda","26/03/2020"
"O Melhor de Mim","25/03/2020"
"No Olho do Tornado","24/03/2020"
"Anne with an E: Temporada 1: Sua determinação dita seu destino","21/03/2020"
"O Céu é de Verdade","18/03/2020"
"Um olhar do paraíso","14/03/2020"
"Terremoto: A Falha de San Andreas","13/03/2020"
"Fim do Mundo","12/03/2020"
"A Casa de Cera","12/03/2020"
"Mãos talentosas: A história de Ben Carson","11/03/2020"
"Akira","16/02/2020"
"María Magdalena: Episódio 4","12/01/2020"
"María Magdalena: Episódio 3","05/01/2020"
"María Magdalena: Episódio 2","07/12/2019"
"Luzes no Céu: Fireworks","22/11/2019"
"O Espetacular Homem-Aranha","22/09/2019"
"SAINT SEIYA: Os Cavaleiros do Zodíaco: Parte 1: Queime seu cosmo","15/09/2019"
"The Umbrella Academy: Temporada 1: Comum (só que não)","22/04/2019"
"The Umbrella Academy: Temporada 1: Corre, cara, corre","19/04/2019"
"The Umbrella Academy: Temporada 1: A gente só se encontra em casamentos e funerais","16/04/2019"
"O Fotógrafo de Mauthausen","21/03/2019"
"Love, Death & Robots: Volume 1: A VANTAGEM DE SONNIE","17/03/2019"
"Bird Box","23/02/2019"
"Shiki Oriori: O Sabor da Juventude","24/12/2018"
"The Seven Deadly Sins: Ressurreição dos Dez Mandamentos: O renascer do clã dos demônios","24/12/2018"
"Your Name","16/07/2018"
"Little Witch Academia: Temporada 1: Papilliodia","15/07/2018"
"Agente Carter: Temporada 2: Final digno de Hollywood","28/01/2018"
"Agente Carter: Temporada 2: Ritmo quente","08/01/2018"
"Agente Carter: Temporada 2: No limite do mistério","08/01/2018"
"One-Punch Man: Temporada 1: O ciborgue solitário","08/01/2018"
"Agente Carter: Temporada 2: Monstros","04/01/2018"
"Agente Carter: Temporada 2: Centro das atenções","03/01/2018"
"Agente Carter: Temporada 2: O trabalho atômico","02/01/2018"
"Agente Carter: Temporada 2: Fumaça e espelhos","02/01/2018"
"Agente Carter: Temporada 2: Anjos bons","02/01/2018"
"Agente Carter: Temporada 2: Uma visão no escuro","20/11/2017"
"Agente Carter: Temporada 2: A moça do lago","16/11/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: Fim do Mundo","09/11/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: O Retorno","08/11/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: Adeus, Mundo Cruel!","07/11/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: Todos os Homens da Madame","07/11/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: Sem Arrependimentos","07/11/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: Identidade e Mudança","03/11/2017"
"Thor – O Mundo Sombrio","31/10/2017"
"Thor","30/10/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: E Se…","28/10/2017"
"One-Punch Man: Temporada 1: O homem mais poderoso","28/10/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: Auto-Controle","27/10/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: O Homem Por Trás da Shield","27/10/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: Bum!","27/10/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: Sopa de Batata Quente","26/10/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: Acorda","26/10/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: O Patriota","24/10/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: Promessas Quebradas","20/10/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: As Leis da Dinâmica do Inferno","20/10/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: Enfrentando Seus Demônios","19/10/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: O Bom Samaritano","18/10/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: Presídio","17/10/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: Me Deixa Ficar Perto do Seu Fogo","13/10/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: A Revolta","29/09/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: Conheçam o Novo Chefe","28/09/2017"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 4: O Fantasma","27/09/2017"
"Hora de Aventura: Temporada 4: Esposa Princesa","27/09/2017"
"Hora de Aventura: Temporada 4: Lobo do Abraço","27/09/2017"
"Hora de Aventura: Temporada 4: Seguindo seus Passos","27/09/2017"
"The Seven Deadly Sins: Sinais da Guerra Santa: A forma do amor","12/08/2017"
"The Seven Deadly Sins: Sinais da Guerra Santa: Em busca do primeiro amor","11/08/2017"
"The Seven Deadly Sins: Sinais da Guerra Santa: Nosso festival de luta","07/08/2017"
"The Seven Deadly Sins: Sinais da Guerra Santa: O início de um sonho sombrio","06/08/2017"
"The Seven Deadly Sins: Heróis","04/08/2017"
"The Seven Deadly Sins: O advento do desespero","03/08/2017"
"The Seven Deadly Sins: O que posso fazer por você","02/08/2017"
"The Seven Deadly Sins: O perigo que se aproxima","01/08/2017"
"The Seven Deadly Sins: O feitiço da coragem","31/07/2017"
"The Seven Deadly Sins: O Rei das Fadas","30/07/2017"
"Little Witch Academia: Temporada 1: Começando do zero","29/07/2017"
"Two and a Half Men: Temporada 8: Um cacto recheado de pudim","29/07/2017"
"Two and a Half Men: Temporada 8: Uma garrafa de vinho e uma marreta","29/07/2017"
"Two and a Half Men: Temporada 8: Três garotas e um cara chamado Bud","29/07/2017"
"The Seven Deadly Sins: Mesmo que me custe a vida","29/07/2017"
"The Seven Deadly Sins: A primeira vítima","27/07/2017"
"Juana Inés: A vida com que morro","26/07/2017"
"Juana Inés: Detenha a mão","26/07/2017"
"The Seven Deadly Sins: Lendas contadas","26/07/2017"
"The Seven Deadly Sins: Cavaleiro profano","25/07/2017"
"Juana Inés: Divina Lysi","24/07/2017"
"Juana Inés: Este tormento amoroso","23/07/2017"
"Juana Inés: Lágrimas negras da minha pena","23/07/2017"
"The Seven Deadly Sins: O leitor de livros","23/07/2017"
"The Seven Deadly Sins: Discípulo da destruição","22/07/2017"
"Juana Inés: Não há prisão para a alma","21/07/2017"
"The Seven Deadly Sins: O terrível Canon","21/07/2017"
"The Seven Deadly Sins: Sentimentos antigos","20/07/2017"
"Juana Inés: Pelo menos, olhe para mim","19/07/2017"
"The Seven Deadly Sins: O festival de luta de Byzel","19/07/2017"
"The Seven Deadly Sins: Pulsação das trevas","18/07/2017"
"The Seven Deadly Sins: A temível cavaleira sagrada","17/07/2017"
"The Seven Deadly Sins: Uma reunião emocionante","16/07/2017"
"The Seven Deadly Sins: O poema do início","15/07/2017"
"The Seven Deadly Sins: Mesmo que você morra","14/07/2017"
"The Seven Deadly Sins: O sonho de uma garotinha","12/07/2017"
"Arrow: Temporada 4: Almas perdidas","11/07/2017"
"The Seven Deadly Sins: O pecado da Floresta Adormecida","11/07/2017"
"The Seven Deadly Sins: A espada do cavaleiro sagrado","10/07/2017"
"The Seven Deadly Sins: Os Sete Pecados Capitais","09/07/2017"
"Os Vingadores Unidos: Temporada 3: Homem-Formiga em Grande Estilo","01/07/2017"
"The Flash: Temporada 1: O homem mais rápido do mundo","13/05/2017"
"The Flash: Temporada 1: Piloto","06/05/2017"
"Watchmen - O filme","30/04/2017"
"Cyborg 009: Call of Justice: O imperador","13/04/2017"
"A Fúria do Dragão","01/04/2017"
"Sherlock: Um estudo em rosa","31/03/2017"
"Homem de ferro: a batalha contra ezekiel stane","31/03/2017"
"Os Vingadores Confidencial: Viúva Negra e Justiceiro","27/03/2017"
"Cyborg 009: Call of Justice: Ruptura","27/03/2017"
"Cyborg 009: Call of Justice: Uma ilusão chamada esperança","26/03/2017"
"Cyborg 009: Call of Justice: Casa do destino","25/03/2017"
"Cyborg 009: Call of Justice: Os guardiões","24/03/2017"
"Cyborg 009: Call of Justice: Poder invisível","22/03/2017"
"Cyborg 009: Call of Justice: Os mal-aventurados","21/03/2017"
"Cyborg 009: Call of Justice: Uma visita turbulenta","19/03/2017"
"GANTZ:O","06/03/2017"
"Samurai Flamenco: Flamenco VS Falso Flamenco","10/01/2017"
"A Lenda de Korra: Livro 2: Espíritos: Luz no Escuro","08/12/2016"
"A Lenda de Korra: Livro 2: Espíritos: Cai a Escuridão","07/12/2016"
"A Lenda de Korra: Livro 2: Espíritos: Convergência Harmônica","01/12/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 3: Ascensão","29/11/2016"
"A Lenda de Korra: Livro 2: Espíritos: Noite de Mil Estrelas","27/11/2016"
"Agentes S.H.I.E.L.D. da Marvel: Temporada 3: Absolvição","26/11/2016"
"A Lenda de Korra: Livro 2: Espíritos: Uma Nova Era Espiritual","26/11/2016"
